Shannon Guesses, Shannon Time, Knuth WC Guesses, Knuth WC Time, Knuth Avg Guesses, Knuth Avg Time
3,2.1519,3,2.2713,2,2.1921
2,2.1473,3,2.1907,3,2.2065
3,2.1789,3,2.3818,3,2.2338
4,2.3525,4,2.3930,4,3.3498
4,2.5029,3,2.3166,4,2.3055
4,2.8587,4,2.4681,3,2.3699
3,2.3294,3,2.2975,2,2.2721
2,2.3121,2,2.2740,2,2.2590
3,2.3065,3,2.2651,3,2.2629
3,2.2808,5,2.4569,5,2.3978
3,2.2796,3,2.3235,4,2.3351
3,2.4153,3,2.4153,4,2.3175
4,2.3450,4,2.3386,3,2.2820
4,2.2797,4,2.2738,4,2.2638
3,2.4459,3,2.5112,3,2.2823
3,2.3854,3,2.3359,4,2.3163
3,2.2684,3,2.2675,3,2.2605
3,2.4627,3,2.4770,3,2.3691
4,2.4999,4,2.4960,4,2.4194
3,2.4564,3,2.4352,3,2.3801
4,2.4453,4,2.4415,5,2.4106
3,2.4648,3,2.4698,3,2.3388
5,2.5337,4,2.4950,4,2.4519
4,2.4810,4,2.4665,4,2.4044
3,2.3716,4,2.3777,3,2.3484
4,2.4703,4,2.4441,3,2.4224
3,2.7247,4,2.7169,3,2.6316
5,2.7204,5,2.6816,4,2.5740
5,2.7297,3,2.5137,3,2.4952
4,2.6231,3,2.6616,2,2.5523
3,2.7330,3,2.5734,2,2.5983
6,2.7902,5,2.7460,5,2.6688
4,2.5690,3,2.5495,4,2.5753
3,2.7365,4,2.7429,4,2.5989
5,2.6021,4,2.5949,5,2.5627
4,2.6605,4,2.6436,3,2.5495
4,2.7286,4,2.6849,4,2.6219
4,2.6675,4,2.6530,3,2.5511
4,2.5626,3,2.5380,4,2.5321
4,2.6553,4,2.6758,4,2.5519
3,2.7228,3,2.7231,3,2.7170
4,2.6325,4,2.5844,3,2.5696
3,2.6390,3,2.5313,2,2.4975
4,2.5920,3,2.3969,2,2.3902
4,2.5920,4,2.5648,4,2.4562
4,2.5677,4,2.5199,3,2.4855
4,2.5617,4,2.5544,3,2.4217
3,2.5089,3,2.5181,4,2.5147
3,2.5547,3,2.5702,3,2.3468
4,2.3999,4,2.3904,4,2.3644
4,2.3504,4,2.3670,5,2.3450
3,2.3821,5,2.3980,3,2.3018
3,2.3587,3,2.3375,3,2.2653
4,2.2867,3,2.2459,3,2.2536
3,2.2667,3,2.2374,2,2.2281
4,2.4500,4,2.4462,4,2.3469
4,2.3640,4,2.3195,4,2.3132
5,2.4880,5,2.4678,5,2.5937
4,2.6456,4,2.7192,4,2.5542
4,2.5318,4,2.6563,3,2.4958
3,2.4860,3,2.4662,3,2.4609
3,2.5266,3,2.4860,3,2.4526
3,2.6170,5,2.6203,3,2.5300
3,2.4762,5,2.5096,3,2.5244
3,2.7026,3,2.6295,3,2.4928
4,2.7507,5,2.6457,4,2.5574
5,2.5663,5,2.5402,5,2.5258
4,2.5818,4,2.7127,4,2.6025
4,2.5750,4,2.7356,3,2.6123
3,2.7046,4,2.6682,4,2.5865
4,2.6512,4,2.7421,4,2.9040
3,2.6180,3,2.5883,3,2.5635
3,2.6225,3,2.5835,3,2.5639
3,2.6918,3,2.6741,3,2.6488
3,2.6160,4,2.6497,3,2.6412
4,2.7344,5,2.7359,5,2.6375
4,2.7506,4,2.7821,4,2.6658
5,2.7541,5,2.7795,4,2.7167
3,2.5404,3,2.3987,2,2.4125
3,2.4829,3,2.3931,3,2.3990
4,2.7048,4,2.7312,4,2.6465
5,2.5710,4,2.5459,5,2.5757
5,2.6485,5,2.6492,6,2.6363
6,2.6528,6,2.6317,7,2.6151
4,2.6492,4,2.6533,4,2.5361
5,2.5950,4,2.5340,4,2.5295
3,2.5349,3,2.5255,3,2.5016
7,2.7581,6,2.7169,6,2.6434
5,2.6933,5,2.6551,5,2.5662
6,2.5675,5,2.5400,5,2.5354
4,2.5499,3,2.5276,2,2.5113
4,2.6143,4,2.6148,4,2.5622
4,2.5517,4,2.5474,3,2.5129
4,2.6590,4,2.6596,4,2.5573
4,2.6669,4,2.6268,4,2.6130
3,2.6770,5,2.6826,3,2.5876
5,2.6887,5,2.6574,3,2.5491
3,2.5426,2,2.4926,2,2.4776
3,2.5129,3,2.4821,2,2.4655
5,2.7228,5,2.6853,6,2.6271
4,2.6366,4,2.6129,4,2.5423
4,2.5896,4,2.6318,3,2.5792
4,2.6628,3,2.6480,3,2.5130
5,2.6924,5,2.7045,5,2.6625
5,2.6978,5,2.7337,6,2.5111
4,2.5097,4,2.5599,4,2.4748
5,2.5459,5,2.5278,5,2.4812
3,2.5934,3,2.6120,3,2.5092
8,2.6777,7,2.6227,7,2.5594
6,2.5905,6,2.5721,6,2.4951
3,2.5097,3,2.5205,4,2.5056
3,2.4724,4,2.4847,3,2.4752
3,2.4827,5,2.4975,3,2.4299
5,2.6348,4,2.4414,3,2.5205
3,2.4883,3,2.4981,3,2.4619
5,2.4812,5,2.4407,4,2.4300
4,2.4286,4,2.4268,4,2.4828
4,2.4828,3,2.4375,3,2.4294
4,2.4519,4,2.4184,3,2.4154
7,2.5056,6,2.4535,6,2.4393
4,2.4546,2,2.4140,3,2.4132
3,2.4551,4,2.4582,5,2.4502
3,2.4168,4,2.5048,3,2.4574
4,2.5552,4,2.6278,3,2.4946
4,2.5360,5,2.5258,4,2.5340
5,2.6412,4,2.5324,5,2.4774
3,2.5061,4,2.4891,3,2.4710
4,2.4971,4,2.5083,4,2.4519
5,2.5009,4,2.4428,4,2.4408
4,2.4838,4,2.4451,3,2.4213
3,2.4417,2,2.4383,3,2.4912
4,2.6805,4,2.5235,4,2.4641
5,2.5955,3,2.5770,5,2.5213
4,2.4531,4,2.4357,3,2.4052
5,2.5861,5,2.5714,5,2.4699
4,2.5698,4,2.5664,4,2.4886
4,2.5920,4,2.5818,4,2.5125
3,2.4183,3,2.4187,2,2.4005
3,2.4130,3,2.4001,2,2.3972
3,2.4135,2,2.4075,2,2.4195
3,2.4324,3,2.4089,2,2.3977
4,2.4779,4,2.4592,3,2.4501
4,2.5598,4,2.5582,4,2.4809
4,2.4810,3,2.4209,3,2.4129
4,2.4701,4,2.4688,3,2.4948
3,2.5197,3,2.4738,2,2.4500
5,2.6477,3,2.4282,3,2.4139
4,2.4940,3,2.4203,3,2.4068
4,2.5685,4,2.5976,4,2.4819
3,2.5105,3,2.4962,3,2.4504
4,2.4872,4,2.4854,4,2.4494
3,2.4252,5,2.8346,5,2.7850
3,2.6306,4,2.6818,3,2.6540
2,2.6292,4,2.7748,3,2.6554
4,2.8180,4,2.8356,4,2.7321
3,2.6833,4,2.6721,3,2.6399
3,2.7557,3,2.7448,3,2.6424
4,2.6891,4,2.6067,3,2.5797
4,2.6000,4,2.5974,3,2.5824
4,2.6212,4,2.5996,3,2.5787
4,2.7871,3,2.7707,4,2.7649
2,2.7997,2,2.7175,3,2.6308
4,2.7163,4,2.7102,6,2.6927
4,2.7905,4,2.7443,3,2.6036
4,2.7036,4,2.7034,4,2.6803
3,2.7277,3,2.7329,2,2.6058
3,2.5834,5,2.7061,3,2.6441
4,2.7531,4,2.7414,3,2.5963
4,2.7376,4,2.7403,3,2.6069
3,2.5955,2,2.5729,2,2.5749
3,2.6376,3,2.6057,3,2.5676
4,2.7661,5,2.7778,4,2.6576
4,2.7733,4,2.7760,4,2.6884
4,2.7029,4,2.6949,4,2.6522
4,2.7751,5,2.7760,4,2.6854
4,2.6200,3,2.6163,3,2.6257
3,2.5754,4,2.6859,4,2.6315
3,2.5968,4,2.7354,4,2.5996
4,2.7746,4,2.8088,4,2.6912
3,2.6746,4,2.6478,4,2.5859
4,2.7187,4,2.7123,4,2.6169
3,2.5724,5,2.7055,4,2.6016
3,2.5605,3,2.5601,2,2.5504
4,2.6062,3,2.5709,3,2.5414
4,2.7127,4,2.7017,4,2.6133
2,2.5411,4,2.5618,2,2.5374
4,2.6803,4,2.6757,3,2.6388
3,2.5663,3,2.6169,4,2.5879
3,2.7180,3,2.5794,3,2.5602
4,2.7490,3,2.7689,4,2.7246
5,2.7591,5,2.7719,5,2.6687
4,2.7310,4,2.6976,3,2.6078
5,2.7036,5,2.7028,5,2.6791
2,2.5781,3,2.5631,3,2.5508
4,2.6063,4,2.5860,3,2.5766
4,2.7219,4,2.7084,3,2.6082
4,2.7245,4,2.6438,5,2.3940
4,2.5682,5,2.5650,6,2.5579
3,2.4792,3,2.4853,3,2.4473
5,2.6622,6,2.6537,5,2.5768
3,2.5584,4,2.5416,3,2.4933
5,2.6211,3,2.4763,2,2.4320
4,2.5773,4,2.5672,4,2.5595
5,2.6652,5,2.6634,5,2.5768
4,2.6274,4,2.6923,3,2.5430
3,2.6766,4,2.6548,3,2.5925
2,2.5766,2,2.5687,6,2.5767
4,2.6127,4,2.6018,4,2.4900
5,2.6674,5,2.6484,5,2.5604
5,2.6042,5,2.5901,4,2.5125
3,2.4786,3,2.4818,3,2.4574
4,2.6234,4,2.6214,4,2.4798
4,2.5105,4,2.5040,3,2.4914
4,2.5093,2,2.4356,3,2.4482
4,2.5912,4,2.5922,4,2.5728
5,2.6501,4,2.6402,5,2.5656
4,2.5205,4,2.5187,4,2.4970
6,2.6873,6,2.6837,6,2.5942
3,2.6178,4,2.6108,3,2.4715
3,2.5644,4,2.5589,4,2.5393
4,2.5058,4,2.5133,3,2.4933
4,2.4942,4,2.4764,3,2.4667
4,2.5229,4,2.4739,3,2.4604
4,2.4917,3,2.4796,3,2.4557
3,2.5259,3,2.5383,4,2.5530
3,2.5403,4,2.5141,3,2.5650
3,2.5248,3,2.5136,4,2.5414
4,2.6162,4,2.6116,5,2.5906
4,2.6621,3,2.6642,3,2.5165
3,2.5411,2,2.4946,2,2.4546
5,2.5236,4,2.3361,3,2.3012
4,2.5270,4,2.4387,4,2.4353
3,2.3464,3,2.3634,3,2.3163
3,2.4957,2,2.4558,3,2.3965
4,2.4173,4,2.4103,4,2.4335
4,2.5910,5,2.5774,4,2.4538
3,2.4927,3,2.4891,4,2.4248
3,2.5044,3,2.4903,3,2.4693
3,2.6979,4,2.6261,3,2.4849
5,2.5777,5,2.5821,5,2.4738
3,2.4297,3,2.4334,3,2.3839
3,2.4896,3,2.4654,3,2.3772
3,2.4194,4,2.4208,3,2.3783
3,2.4168,3,2.4211,3,2.3833
3,2.3668,3,2.3789,2,2.3981
3,2.3739,3,2.4817,3,2.4318
3,2.4083,3,2.4096,3,2.3857
3,2.3859,4,2.5354,3,2.3968
3,2.3966,3,2.4029,4,2.4006
4,2.4165,4,2.4013,3,2.4167
2,2.3648,4,2.4335,3,2.4300
2,2.4468,4,2.5804,3,2.4102
2,2.3702,4,2.4293,4,2.3744
3,2.3844,4,2.5507,3,2.4010
5,2.5939,5,2.5889,6,2.4598
3,2.4467,4,2.4640,3,2.3847
4,2.5337,4,2.5414,3,2.4064
2,2.4285,2,2.4115,2,2.3648
2,2.3759,2,2.3671,2,2.3595
3,2.4265,3,2.3908,2,2.3613
5,2.6121,6,2.6144,5,2.4676
4,2.5656,4,2.5349,3,2.3889
3,2.5582,3,2.5633,3,2.4197
3,2.4594,3,2.4354,2,2.3797
4,2.5759,4,2.5543,5,2.4656
3,2.4279,4,2.4144,3,2.3641
3,2.5104,2,2.5114,4,2.4099
4,2.4324,3,2.4133,4,2.3820
3,2.4037,3,2.6646,3,2.4602
2,2.3700,3,2.3785,3,2.3538
2,2.3543,2,2.4833,2,2.3818
2,2.3656,3,2.4301,2,2.3548
4,2.6151,4,2.5589,3,2.4151
3,2.4296,3,2.4137,3,2.3684
4,2.5389,4,2.5546,4,2.4026
3,2.4796,2,2.3677,2,2.3870
3,2.5253,3,2.3732,3,2.3897
3,2.3919,3,2.3704,3,2.3786
3,2.4443,3,2.4144,2,2.3616
4,2.4952,4,2.4977,3,2.3669
3,2.4237,4,2.4106,3,2.3636
4,2.5135,4,2.5092,3,2.4842
2,2.5501,2,2.6305,2,2.3383
2,2.5086,2,2.3599,3,2.3292
5,2.5286,5,2.5136,4,2.3573
3,2.3461,3,2.4697,3,2.3283
4,2.5010,4,2.5038,4,2.3895
4,2.4312,4,2.5333,3,2.4493
3,2.5135,3,2.5381,3,2.4413
3,2.4839,3,2.4666,3,2.3521
3,2.5432,3,2.6692,3,2.5166
3,2.5343,3,2.5584,3,2.4124
4,2.6067,3,2.5627,3,2.7490
4,2.7615,3,2.6786,2,2.6813
3,2.8561,3,2.6911,2,2.6676
3,2.9663,5,2.9267,6,2.7991
3,2.9332,3,2.8134,4,2.8348
4,2.8796,3,2.7044,3,2.4052
6,2.6016,6,2.5682,5,2.4492
5,2.5544,4,2.5226,4,2.3782
3,2.4880,3,2.5090,3,2.4617
3,2.5237,4,2.4472,4,2.3979
3,2.4133,3,2.4057,4,2.3832
4,2.4738,4,2.4732,3,2.3623
4,2.4298,4,2.4228,4,2.3690
4,2.5300,5,2.5413,3,2.3936
4,2.4791,3,2.3491,3,2.3569
3,2.5228,4,2.5185,4,2.3577
3,2.3987,5,2.5966,6,2.4954
5,2.5821,4,2.5165,4,2.3759
4,2.4263,5,2.4342,6,2.4312
3,2.4267,4,2.4428,5,2.4018
4,2.4403,4,2.4276,3,2.3607
4,2.4415,5,2.4377,5,2.3803
3,2.4095,4,2.4031,3,2.3363
4,2.3779,6,2.5874,6,2.4273
4,2.5041,4,2.4904,3,2.3533
4,2.3814,3,2.3606,3,2.3365
3,2.3845,3,2.3508,2,2.3232
3,2.3923,3,2.3575,3,2.3407
2,2.3647,2,2.3590,1,2.3511
4,2.4530,4,2.4559,3,2.3267
4,2.4683,4,2.4846,3,2.3239
5,2.4345,3,2.3903,4,2.3609
3,2.4844,6,2.5321,4,2.3754
5,2.4794,5,2.4599,4,2.3297
4,2.3966,2,2.3736,3,2.3428
5,2.5315,3,2.4835,3,2.3477
3,2.3667,4,2.4041,3,2.3668
3,2.3697,4,2.4934,4,2.3701
3,2.3412,5,2.5542,4,2.3826
4,2.3546,4,2.5021,4,2.3687
4,2.4826,3,2.4106,3,2.3919
4,2.5100,4,2.3847,3,2.3506
4,2.5006,3,2.4388,4,2.4447
5,2.4828,5,2.4916,3,2.3700
3,2.3696,3,2.4036,3,2.3698
3,2.4036,3,2.3938,2,2.4672
3,2.3919,4,2.4846,3,2.3503
4,2.3876,4,2.4527,3,2.4920
3,2.5219,3,2.4902,2,2.5207
4,2.5255,4,2.4984,3,2.4502
3,2.5285,3,2.5316,3,2.4732
4,2.5756,5,2.5623,3,2.4040
4,2.5198,4,2.5009,3,2.3977
3,2.4153,4,2.5890,3,2.4777
4,2.5475,4,2.5133,3,2.4123
3,2.6097,3,2.5724,4,2.4321
4,2.5375,3,2.4641,3,2.3793
3,2.4179,3,2.4177,2,2.3739
5,2.4814,4,2.4948,3,2.4435
3,2.3981,5,2.4750,5,2.4652
4,2.6111,5,2.6113,3,2.4658
4,2.5597,4,2.5399,5,2.4273
5,2.6043,6,2.6119,4,2.4370
4,2.4593,5,2.4430,4,2.3834
3,2.3747,3,2.4487,4,2.4137
5,2.5572,3,2.3740,2,2.3636
6,2.4796,5,2.4689,5,2.4293
4,2.5374,3,2.3769,2,2.3570
5,2.5927,6,2.6118,6,2.4673
5,2.5706,5,2.5439,4,2.4405
3,2.4373,3,2.4069,3,2.5156
2,2.3911,2,2.3735,2,2.3972
2,2.4000,2,2.3913,2,2.3817
4,2.4572,4,2.4005,4,2.3732
3,2.4182,3,2.3965,2,2.3554
4,2.4031,4,2.3891,3,2.4191
2,2.3845,2,2.3644,3,2.3631
2,2.3908,2,2.3863,2,2.3745
5,2.5966,2,2.3805,3,2.3617
4,2.4601,4,2.4312,4,2.4049
3,2.5410,3,2.4236,2,2.4001
3,2.5660,4,2.4121,4,2.4051
3,2.4358,2,2.4168,2,2.4407
3,2.5768,3,2.4254,3,2.4479
5,2.5243,4,2.4539,5,2.4271
5,2.4953,2,2.3831,3,2.3853
4,2.4818,5,2.5106,4,2.4238
4,2.4506,4,2.4539,3,2.4622
4,2.4453,3,2.4171,3,2.3948
3,2.4735,2,2.3785,2,2.3609
4,2.4891,4,2.4680,4,2.4230
3,2.4098,4,2.4455,4,2.4149
2,2.4153,2,2.4140,3,2.4305
4,2.4999,5,2.4843,4,2.4441
3,2.4408,4,2.6004,3,2.6231
3,2.4405,4,2.4975,4,2.4534
3,2.4446,4,2.6330,4,2.7467
5,2.6176,4,2.5566,4,2.6029
3,2.4313,4,2.4463,3,2.4463
4,2.5948,4,2.5842,3,2.6850
3,2.4442,3,2.4165,3,2.4050
3,2.3912,3,2.3802,3,2.3782
4,2.4217,4,2.3928,3,2.4203
4,2.5036,3,2.4839,4,2.5082
4,2.4186,3,2.4132,3,2.4142
3,2.5353,3,2.5245,4,2.7095
4,2.6142,4,2.5939,3,2.6309
3,2.4291,2,2.4162,3,2.4188
4,2.6207,4,2.5949,3,2.6338
5,2.5879,4,2.5594,3,2.5371
5,2.6166,4,2.3926,3,2.4240
4,2.4563,3,2.3824,3,2.3912
4,2.5345,3,2.3935,3,2.3923
3,2.3966,4,2.4999,3,2.4944
3,2.4009,4,2.5421,5,2.6947
4,2.6053,4,2.3980,3,2.4454
5,2.6324,3,2.3781,3,2.3743
4,2.5019,4,2.4967,4,2.5367
4,2.5449,4,2.5644,4,2.5924
3,2.4377,3,2.6046,4,2.5999
3,2.4210,3,2.5795,3,2.5554
3,2.5405,3,2.5437,4,2.5934
4,2.4972,4,2.4915,3,2.5253
4,2.5760,4,2.5727,5,2.6467
4,2.5345,4,2.4904,4,2.5362
3,2.4897,4,2.4408,3,2.4689
3,2.5415,3,2.3565,3,2.3390
5,2.5520,4,2.5353,4,2.5549
4,2.5784,4,2.7071,3,2.6207
4,2.4627,4,2.4407,4,2.4440
4,2.5576,3,2.5385,3,2.5087
4,2.6411,4,2.6164,3,2.6284
3,2.6199,3,2.6341,4,2.6375
3,2.6454,3,2.6410,3,2.6331
5,2.6920,5,2.6517,4,2.7385
3,2.6506,3,2.6032,3,2.6546
4,2.6423,4,2.6826,4,2.5778
4,2.6443,4,2.6935,4,2.6675
4,2.6383,4,2.6130,3,2.7209
4,2.5783,4,2.5795,4,2.5522
3,2.6113,5,2.6544,4,2.6419
3,2.5315,3,2.5294,4,2.5486
4,2.5828,4,2.5859,4,2.6249
3,2.4090,3,2.5120,3,2.5172
4,2.4146,4,2.5571,4,2.5424
5,2.6115,5,2.5627,4,2.6664
4,2.5249,4,2.5368,4,2.5523
5,2.5826,4,2.5716,4,2.6136
4,2.4380,4,2.4733,4,2.7226
3,2.4612,3,2.4652,4,2.7520
4,2.5373,3,2.3989,3,2.3783
3,2.4165,3,2.3635,3,2.3775
3,2.5257,3,2.4615,3,2.5226
6,2.6926,5,2.6713,5,2.7124
